id,file,title,lead,bert_base_dutch_cased_finetuned_snli_label,bert_base_dutch_cased_finetuned_snli_positief,bert_base_dutch_cased_finetuned_snli_negatief,robbert_v2_dutch_finetuned_snli_label,robbert_v2_dutch_finetuned_snli_positief,robbert_v2_dutch_finetuned_snli_negatief,robbertje_dutch_finetuned_snli_label,robbertje_dutch_finetuned_snli_positief,robbertje_dutch_finetuned_snli_negatief
7,Bericht 007 Nederlandse pati_nt wacht te lang op betere medicijnen tegen kanker.pdf,Nederlandse patiënt wacht te lang op betere medicijnen tegen kanker,"Wat een prachtig bericht onlangs, dat meer kankerpatiënten de afgelopen decennia bleven leven. Twee derde van
de patiënten met de diagnose kanker leeft na vijf jaar nog. Een vooruitgang die volgens het Integraal
Kankercentrum Nederland mede te danken is aan innovatieve geneesmiddelen tegen gevorderde en uitgezaaide
kanker.",positief,0.6722040384235568,0.32779596157644314,positief,0.8130655990781557,0.18693440092184432,negatief,0.40595974325494477,0.5940402567450552
10,Bericht 010_Nieuwe kankermedicijnen leveren meer financi_le winst op dan gezondheidswinst.pdf,Nieuwe kankermedicijnen leveren meer financiële winst op dan gezondheidswinst,"Vorige week verscheen in Trouw een artikel met de prikkelende kop: 'Kankerpatiënt krijgt te laat toegang tot
nieuwe medicijnen.' De auteur van dit opiniestuk, zelf sinds 2018 longkankerpatiënt, stelt dat het veel te lang duurt
voordat kankermedicijnen beschikbaar komen in ons land. 'Nederland is een mooi land waarin uiteindelijk bijna alle in de VS goedgekeurde kankergeneesmiddelen in het
basispakket komen. Maar de wachttijd is te lang.",positief,0.6013997899654479,0.39860021003455215,positief,0.600150414466506,0.39984958553349403,negatief,0.490422136734878,0.509577863265122
11,Bericht 011_Hoe controleer je verstopte moedervlekken_.pdf,Hoe controleer je verstopte moedervlekken?,"Preventie het consult
Meer dan twintig jaar geleden ontdekte ze op haar buik een moedervlek die van kleur veranderde. Het bleek een
melanoom, die bovendien was uitgezaaid naar de lymfeklieren. Artsen hebben alle kwaadaardige cellen
weggehaald en de tumor is nooit meer teruggekomen.",positief,0.6275504709551296,0.3724495290448704,positief,0.5405577342083057,0.4594422657916942,negatief,0.3365605214157833,0.6634394785842167
16,Bericht 016_Ik vind het erg als _n infuus van 25.000 euro wordt weggegooid_.pdf,'Ik vind het erg als 'n infuus van 25.000 euro wordt weggegooid',"Slimme ideeën van apotheker Roelof van Leeuwen besparen miljoenen
Ellen van Gaalen
Rotterdam
Waarom schrijven artsen 1005 milligram van een oncologisch middel voor, terwijl de verpakkingen per 100
milligram gaan? ,,Dan gooien we dus 95 procent weg. Dat zijn vaak dure medicijnen."" Eenmaal aan een patiënt
gegeven middelen mogen na inlevering niet aan een andere patiënt worden gegeven.",positief,0.5943434245775704,0.4056565754224296,positief,0.6506027401583918,0.34939725984160824,negatief,0.41344861850630366,0.5865513814936963
21,Bericht 021_Wachtlijsten en personeelstekort_ het _zorginfarct_ is er al lang_ De zorg is nu zelf pati_nt _ Zor.pdf,Wachtlijsten en personeelstekort: het 'zorginfarct' is er al lang; De zorg is nu zelf patiënt ; Zorg maar voor jezelf;,"Onbetaalbare zorg
De gezondheidszorg kan het werk niet meer aan. Een rigoureuze omwenteling is nodig. ,,We zullen tegen
mensen moeten zeggen: wat je zelf kunt, zul je zelf moeten doen.""
VOLLEDIGE TEKST:
De gezondheidszorg is 'op', er zit geen rek meer in.",positief,0.5635269705123314,0.4364730294876686,negatief,0.4937235932482482,0.5062764067517518,negatief,0.414378651778583,0.585621348221417
26,Bericht 026_Tijd om te kiezen_ dure behandelingen of voldoende zorg voor ouderen _ Commentaar.pdf,Tijd om te kiezen: dure behandelingen of voldoende zorg voor ouderen ; Commentaar,"VOLLEDIGE TEKST:
De gezondheidszorg kan de vraag niet meer aan. Dat bleek al tijdens de coronapandemie - waardoor de
samenleving lange tijd stilgelegd moest worden. Sindsdien is het amper verbeterd.",positief,0.6206758535742465,0.3793241464257535,positief,0.732440275733151,0.2675597242668491,negatief,0.4316137056060102,0.5683862943939899
28,Bericht 028_Doorbraak.pdf,Doorbraak,"Vorige maand maakte de Amerikaanse fotograaf Spencer Tunick weer een aantal iconische foto's van 2500 naakte
mensen op het strand van Sydney. Hij deed dit om aandacht te vragen voor huidkanker. Het aantal deelnemers
staat symbool voor de ruim 2000 Australiërs die jaarlijks aan huidkanker sterven.",positief,0.6601097860301317,0.3398902139698684,positief,0.6822452333397353,0.3177547666602648,positief,0.5566291413445505,0.4433708586554494
30,Bericht 030_Toen gooiden we onze agenda_s om_.pdf,'Toen gooiden we onze agenda's om',"Onverwachte ontdekkingen
'Je eigen immuunsysteem helpen tumoren te herkennen en uitschakelen: dat is in feite wat immuuntherapie doet. Het werkt langdurig tegen kanker, doordat je immuunsysteem de kanker leert herkennen en opruimen. Bovendien
heeft het minder bijwerkingen dan chemotherapie, omdat je geen gezonde cellen doodt.",positief,0.6795371859541847,0.32046281404581534,positief,0.7085320899587247,0.29146791004127526,negatief,0.4403320677656443,0.5596679322343556
35,Bericht 035_Zinloze chemo_s_  Interview Pati_nten krijgen vaak dure kankermedicijnen waar ze niets aan hebben.pdf,Zinloze chemo's; Interview Patiënten krijgen vaak dure kankermedicijnen waar ze niets aan hebben,"Interview Gabe Sonke internist-oncoloog Veel kankerpatiënten krijgen langdurig dure medicijnen waar ze geen
dag langer door leven. Maar ze hebben wel veel bijwerkingen. Oncoloog Gabe Sonke wil dat veranderen.",positief,0.5326501140788231,0.4673498859211769,positief,0.5944557634642722,0.4055442365357278,negatief,0.36633020639419556,0.6336697936058044
37,Bericht 037_Wetenschappers_ nieuwe stap tegen kanker (1).pdf,Wetenschappers: nieuwe stap tegen kanker,"Wetenschappers van het Leids Universitair Medisch Centrum (LUMC) en ziekenhuis Antoni van Leeuwenhoek in
Amsterdam denken een nieuwe stap te kunnen zetten in de strijd tegen kanker. Ze hebben ontdekt hoe sommige immuuncellen in staat zijn tot het opsporen en verwijderen van tumoren die voor
de gewone verdedigingsmechanismen van het menselijk immuunsysteem onzichtbaar zijn. Immuuntherapieën
,,We begrijpen nu beter hoe deze immuuncellen werken tegen tumoren in kankerpatiënten en hoe we daar gebruik
van kunnen maken bij het ontwikkelen van nieuwe immuuntherapieën"", zegt Emile Voest, hoogleraar medische
oncologie en groepsleider in het Nederlands Kanker Instituut/Antoni van Leeuwenhoek.",positief,0.6951406566660927,0.30485934333390724,positief,0.6776644678065138,0.32233553219348615,negatief,0.4425751226270865,0.5574248773729136
39,Bericht 039_Het dna van de tumor in kaart.PDF,Het dna van de tumor in kaart,"Geneeskunde Whole genome sequencing
De patiënt heeft uitzaaiingen en is uitbehandeld, de tumor zit in haar linkerborst en bevat 171 dna-afwijkingen. Daaronder twee driver-mutaties, die de cellen zo hebben laten ontsporen dat er kanker is ontstaan. Twee
doelgerichte behandelingen komen in aanmerking, er zijn zes experimentele onderzoeken waaraan de patiënt mee
kan doen.",positief,0.6609998044816245,0.3390001955183755,positief,0.6881767300165644,0.3118232699834357,negatief,0.42056399943750256,0.5794360005624974
45,Bericht 045_Heeft internist Blank de weg naar kankervrij leven gevonden_.pdf,Heeft internist Blank de weg naar kankervrij leven gevonden?,"Al vijftien jaar werkt Christian Blank aan betere immuunbehandelingen voor patiënten met uitgezaaide melanomen,
een agressieve vorm van huidkanker. De van oorsprong Duitse internist doet dat in het in kanker gespecialiseerde
ziekenhuis en onderzoeksinstituut Antoni van Leeuwenhoek in Amsterdam. Waar chemotherapie de kankercellen
doodt, zorgt immuuntherapie ervoor dat onze afweer de foute cellen herkent en verwijdert.",positief,0.6379018520516093,0.3620981479483906,positief,0.6798126553231847,0.3201873446768154,negatief,0.3931317121740105,0.6068682878259894
54,Bericht 054_Steeds meer kinderen overleven kanker.PDF,Steeds meer kinderen overleven kanker,"Meer kinderen en tieners blijven leven nadat ze kanker krijgen. De overlevingskans na vijf jaar steeg naar 83
procent. ,,De behandelingen worden beter.''
Ellen van Gaalen
Utrecht
In de jaren 90 leefde nog 73 procent van de kinderen vijf jaar nadat ze te horen kregen dat ze kanker hadden.",positief,0.6836306855259874,0.3163693144740126,positief,0.6892142011158755,0.31078579888412455,negatief,0.4048046562170497,0.5951953437829502
